Carro,Equipe
1,EESC-USP Formula SAE
2,Mauá Racing
3,Fórmula Cefast
4,FSAE Unicamp
5,Fórmula UFMG
6,Fórmula Del-Racing
7,Formula UFSM
8,UFPR Fórmula
9,Poli Racing
10,Icarus UFRJ de Formula SAE
11,Fórmula FEI Combustão
12,Cheetah Racing
13,Zeus Formula SAE
14,Unesp Racing
15,Fórmula UTFPR
16,Fórmula UFPB
17,Protto UFSC Motorsport
18,Fênix Racing
19,Apuama Racing
20,V8 Racing
21,Formula CEM IC
22,FEB Racing
23,KRT UFBA
24,TEC Racing
25,Scuderia UFABC
26,FSAE Carcará
27,PUCPR Racing
28,Falcons UFFormula SAE
29,EEL Racing
30,Buffalo de Formula SAE
32,UFU Racing
33,Fórmula Route UFSCar
34,Iron Racers
35,Badger Racing
36,Escuderia UFJF
38,Taurus Racing
40,Scuderia UFCG
41,FIUBA Racing Team
42,Scuderia FSU
43, Mercury
45,Sátirus
46,UTFast F-SAE Racing
E1,Fórmula FEI Elétrico
E2,UFPR Fórmula
E3,B'Energy Racing
E4,Faraday E-Racing
E5,EESC-USP Tupã
E6,Ampera Racing
E7,Fórmula Tesla UFMG
E8,Unicamp E-Racing
E9,Minerva eRacing
E12,Capibarib-E Racing
E15,Tadarida Electric Racing
